manufacturer,manufacturerLabel,countryLabel,headquartersLabel,coordinates
http://www.wikidata.org/entity/Q571700,Nordex,Германия,Гамбург,
http://www.wikidata.org/entity/Q571700,Nordex,Германия,Росток,
http://www.wikidata.org/entity/Q86894155,Northrop Grumman Space Systems,США,Dulles,
http://www.wikidata.org/entity/Q841263,Piaggio,Италия,Понтедера,Point(10.6225 43.661388888)
http://www.wikidata.org/entity/Q40996,Praga,Чехословакия,,
http://www.wikidata.org/entity/Q173150,Pratt & Whitney,США,Ист-Хартфорд,
http://www.wikidata.org/entity/Q1969155,Pratt & Whitney Canada,Канада,Лонгёй,
http://www.wikidata.org/entity/Q6686,Renault,Франция,Булонь-Бийанкур,
http://www.wikidata.org/entity/Q7322867,Ricardo plc,Великобритания,Шорхэм-бай-Си,
http://www.wikidata.org/entity/Q116319,Rocket Lab,США,Хантингтон-Бич,
http://www.wikidata.org/entity/Q243278,Rolls-Royce,Великобритания,Лондон,
http://www.wikidata.org/entity/Q679888,Rolls-Royce Limited,Великобритания,Дерби,
http://www.wikidata.org/entity/Q7361332,Rolls-Royce Marine Power Operations,Великобритания,,
http://www.wikidata.org/entity/Q2625271,Rover Group,Великобритания,Бирмингем,
http://www.wikidata.org/entity/Q1571336,Ruston & Hornsby,Великобритания,Линкольн,
http://www.wikidata.org/entity/Q48957,Saab Automobile AB,Швеция,Тролльхеттан,
http://www.wikidata.org/entity/Q1886126,Safran SA,Франция,Париж,
http://www.wikidata.org/entity/Q2037004,Salmson,Франция,Булонь-Бийанкур,
http://www.wikidata.org/entity/Q219960,Scania,Швеция,Сёдертелье,Point(17.640555555 59.170555555)
http://www.wikidata.org/entity/Q457043,Senvion SE,Германия,Гамбург,
http://www.wikidata.org/entity/Q136478,Shenyang Aircraft Corporation,Китай,Шэньян,Point(123.434359 41.866421)
http://www.wikidata.org/entity/Q2290583,Siemens & Halske,Германия,Берлин,
http://www.wikidata.org/entity/Q89189545,Siemens Energy AG,Германия,Мюнхен,
http://www.wikidata.org/entity/Q1493131,Siemens Gamesa,Испания,Самудио,
http://www.wikidata.org/entity/Q1493131,Siemens Gamesa,Германия,Самудио,
http://www.wikidata.org/entity/Q594355,Società Piemontese Automobili,Италия,Турин,
http://www.wikidata.org/entity/Q3488266,Société européenne de propulsion,Франция,,
http://www.wikidata.org/entity/Q193701,SpaceX,США,Браунсвилл,
http://www.wikidata.org/entity/Q97439162,Stellantis,Нидерланды,Амстердам,
http://www.wikidata.org/entity/Q172741,Subaru,Япония,Эбису,
http://www.wikidata.org/entity/Q670100,Sulzer,Швейцария,Винтертур,
http://www.wikidata.org/entity/Q2165627,Sunbeam,Великобритания,Вулвергемптон,
http://www.wikidata.org/entity/Q45464,Tatra,Чехия,Копршивнице,
http://www.wikidata.org/entity/Q1161666,Thales,Франция,Мёдон,
http://www.wikidata.org/entity/Q2357348,Thiokol,США,Трентон,
http://www.wikidata.org/entity/Q2357348,Thiokol,США,Бригем-Сити,
http://www.wikidata.org/entity/Q1140383,Triumph,США,Хинкли,
http://www.wikidata.org/entity/Q1140383,Triumph,Великобритания,Хинкли,
http://www.wikidata.org/entity/Q2002470,Türk Havacılık ve Uzay Sanayii A.Ş.,Турция,Анкара,
http://www.wikidata.org/entity/Q1241339,UD Trucks,Япония,Агео,
http://www.wikidata.org/entity/Q2300468,VM Motori,Италия,Ченто,Point(11.295 44.739)
http://www.wikidata.org/entity/Q868259,Vestas,Дания,Орхус,
http://www.wikidata.org/entity/Q163810,Volvo,Швеция,Гётеборг,
http://www.wikidata.org/entity/Q215293,Volvo Cars,Швеция,Гётеборг,Point(11.855 57.722222222)
http://www.wikidata.org/entity/Q1751470,Volvo Penta,Швеция,Гётеборг,
http://www.wikidata.org/entity/Q327429,Wärtsilä,Финляндия,Хельсинки,
http://www.wikidata.org/entity/Q59167,Zündapp,Германия,Мюнхен,
http://www.wikidata.org/entity/Q59167,Zündapp,Германия,Нюрнберг,
http://www.wikidata.org/entity/Q654907,«Бристоль»,Великобритания,Филтон,
http://www.wikidata.org/entity/Q1136766,«Фэрчайлд индастрис»,США,Сан-Антонио,
http://www.wikidata.org/entity/Q391795,Škoda Works,Чехия,Пльзень,Point(13.354033 49.73931)
http://www.wikidata.org/entity/Q391795,Škoda Works,Чехословакия,Пльзень,Point(13.354033 49.73931)
